房屋标题,简述,浏览量,房屋总价,元/平,房屋户型,房本面积,房屋朝向,所在楼层,装修情况,产权年限,建筑年代,核心卖点,业主心态,服务介绍,核验编码,参考首付,小区均价,所在商圈,物业费,容积率,绿化率,车位信息,室,厅,卫,房屋朝向num,楼层高低num,楼层层数num,装修情况num,产权年限num,建筑年代num,参考首付num,月供num,小区均价num,所在商圈1num,所在商圈2num,recommend0,recommend1,recommend2,recommend3,recommend4,recommend5,recommend6,recommend7,recommend8,recommend9
带固定产权车位的精装大四房购物公园旁发展兴苑品质大社区,带固定产权车位的精装大四房购物公园旁发展兴苑品质大社区;售价：960万元（78392元/㎡）；房贷：首付约287万月供约（35718元）；产权：商品房（70年产权）2005年建；类型：普通住宅 板楼 低层/共9层；装修：精装修朝南北；,449,960.0,78392,4室2厅2卫,122.46,北,低层/共9层,精装修,70年,2005年,发展兴苑位于福田区购物公园，地铁是3号线跟1号线交汇购物公园站。小区是由13栋洋房以及6栋别墅组成的高端园林式小区，小区自带室内恒温泳池，儿童游乐场，幼儿园。周边小区仅有的一个户户都带固定车位的豪宅社区。——————板楼设计、户型很好改动、南北通透的。小区主要以大面积为主，户型方方正正，南北通透，采光通风足，居住安静，使用率高达百分之90，实用率高车位充足，每户都带一个固定车位。是周边少有的品质高端社区。——————这套房子户型很方便、南北通透的、双阳台设计空气对流。——————产权清晰、红本在手无欠款、满五年、带固定产权车位！~,业主是一手业主、在银行上班、现在年纪大了、担心随时被公司裁员、换把房子换成现金在手上、安心点。女儿在国外留学、也需要大量资金。价格可以商量的,"经纪人服务：有钥匙、免费保洁一次收取服务费：最高76800元(≤0.8%)1、感谢您翻阅到我的房源、我是乐有家总部特种兵基地的方齐莹（工号:142245）您可以叫我小方————本人从毕业就开始从事房产行业、对市场比较熟悉，专业解决客户购房烦恼！二手房交易流程介绍:签合同-(公证委托)-资金监管/按揭申请-(担保赎楼)-递件过户-缴税取证-银行放款对账-交房。2、全国连锁经纪公司,5万余名经纪人,5千多家门店。纯大学生团队,一家敢书面承诺不吃差价的中介公司,价格阳光透明,签三方合同、价格公开透明、不存在吃差价等情况。服务简单真诚!7诺7保,差价无理由双倍返还。【ps：APP微聊回复可能不是很及时，为了您能更清楚的了解房源信息，请您致-电，来电信息是保密的！】",深圳市城乡房产管理局：暂未完成认证,288万（月供27553元/月）,80233.0元/㎡,福田－中心区,3.85元/平米/月,3.28,45.0,678个停车位,4,2,2,8,3,9,3,70,2005,288,27553,80233,6,63,41,4,28,218,262,49,373,278,253,398
嘉洲富苑2013年的新小区带空中花园精装修两房出售红本在手,嘉洲富苑2013年的新小区带空中花园精装修两房出售红本在手;售价：270万元（65502元/㎡）；房贷：首付约81万月供约（10031元）；产权：商品房（70年产权）2013年建；类型：普通住宅 板楼 中层/共27层；装修：精装修朝南；,219,270.0,65502,2室2厅1卫,41.22,南,中层/共27层,精装修,70年,2013年,嘉洲富苑，别称叫嘉洲公馆，是2013年竣工的新小区、周边特有的一个新小区、小区环境管理严格，出人需要门禁卡，门口有保安24值班，车位充足，有空中花园、生活方便，附近有大型的超市，绿化好空气新鲜。————小区周边配套齐全，交通方便，楼下不远有多个公交站，还有地铁7号线沙尾站，附近有家乐福、吉之岛、苏宁易购等大型商场，购物方便！——————房子很美很漂亮也很新，个人很喜欢，采光很充足明亮，装修精致，居住舒适温馨、房子是属于精装修的，业主自己住的，保养得非常好。——————现在红本在手、不用赎楼、交易费用低~！,房子诚心出售的、小区诚心卖的小2房就这么一套、且看且珍惜、错过又要等好久。业主急售换大房、没舍得出租、给了钥匙我、方便看房的。,"经纪人服务：有钥匙、免费保洁一次收取服务费：最高21600元(≤0.8%)1、感谢您翻阅到我的房源、我是乐有家总部特种兵基地的方齐莹（工号:142245）您可以叫我小方————本人从毕业就开始从事房产行业、对市场比较熟悉，专业解决客户购房烦恼！二手房交易流程介绍:签合同-(公证委托)-资金监管/按揭申请-(担保赎楼)-递件过户-缴税取证-银行放款对账-交房。2、全国连锁经纪公司,5万余名经纪人,5千多家门店。纯大学生团队,一家敢书面承诺不吃差价的中介公司,价格阳光透明,签三方合同、价格公开透明、不存在吃差价等情况。服务简单真诚!7诺7保,差价无理由双倍返还。【ps：APP微聊回复可能不是很及时，为了您能更清楚的了解房源信息，请您致-电，来电信息是保密的！】",深圳市城乡房产管理局：暂未完成认证,81万（月供7748元/月）,68168.0元/㎡,福田－新洲,3.20元/平米/月,6.0,30.0,住宅、公寓总共430个车位,2,2,1,4,2,27,3,70,2013,81,7748,68168,6,38,6,133,294,169,312,346,276,2,286,124
购物公园地铁口！带月卡车位！花园大社区都市花园精装大两房,购物公园地铁口！带月卡车位！花园大社区都市花园精装大两房;售价：360万元（55512元/㎡）；房贷：首付约108万月供约（13374元）；产权：商品房（70年产权）2002年建；类型：普通住宅 板楼 高层/共13层；装修：精装修朝南；,274,360.0,55512,2室2厅1卫,64.85,南,高层/共13层,精装修,70年,2002年,【装修】精装2房，业主精心设计保养得非常好，家私家电齐全可直接拎包入住【产权情况】红本在手、满5唯1、税费只要4万【看房方式】随时可以看房、业主非常配合、急卖【交通】门口就是公交车站、走路5分到3号线1号线交汇口购物公园地铁口【优势】看高尔夫全景。19栋花园大社区、自带泳池、健身房、会所、生活超市。隔壁还有华润万家。一路之隔就是购物公园、周边房价均8万单价以上。旁边新沙旧改已经确定建立2所中学。_________________小区是香港上市集团茂业地产开发的、都市花园小区毗邻购物公园，仅仅只是一路之隔，小区是18栋小高层和1栋高层组成的港式围合式花园大社区,业主退休、卖房子回老家养老。很和蔼的叔叔、挺好说话的、比较配合。看房随时都可以的。,"经纪人服务：有钥匙、免费保洁一次收取服务费：最高18000元(≤0.5%)1、感谢您翻阅到我的房源、我是乐有家总部特种兵基地的方齐莹（工号:142245）您可以叫我小方————本人从毕业就开始从事房产行业、对市场比较熟悉，专业解决客户购房烦恼！二手房交易流程介绍:签合同-(公证委托)-资金监管/按揭申请-(担保赎楼)-递件过户-缴税取证-银行放款对账-交房。2、全国连锁经纪公司,5万余名经纪人,5千多家门店。纯大学生团队,一家敢书面承诺不吃差价的中介公司,价格阳光透明,签三方合同、价格公开透明、不存在吃差价等情况。服务简单真诚!7诺7保,差价无理由双倍返还。【ps：APP微聊回复可能不是很及时，为了您能更清楚的了解房源信息，请您致-电，来电信息是保密的！】",深圳市城乡房产管理局：暂未完成认证,108万（月供10333元/月）,64282.0元/㎡,福田－新洲,3.00元/平米/月,3.6,35.0,地下停车场,2,2,1,4,1,13,3,70,2002,108,10333,64282,6,38,254,346,159,169,233,94,146,158,280,1
2015年新小区深圳君临天下豪装两房看高尔夫全景产权清晰,2015年新小区深圳君临天下豪装两房看高尔夫全景产权清晰;售价：518万元（75159元/㎡）；房贷：首付约156万月供约（19212元）；产权：商品房（70年产权）2015年建；类型：普通住宅 板楼 中层/共46层；装修：豪华装修朝北；,213,518.0,75159,2室2厅1卫,68.92,北,中层/共46层,豪华装修,70年,2015年,君临天下位于福田区新沙路，小区是由2栋高层组成的高端园林式小区，酒店式管理，刷卡到层，小区停车位充足！——————看高尔夫两房，天然氧吧！豪华装修，业主保养的很好，精心设计的装修、家私家电齐全，过户可拎包入住！——————君临天下两用复式公寓少有平层房，周边配套齐全，楼下便利店，自动卖菜机，旁边惠民生活超市，周边交通出行方便，临近新洲路，福田武装部公交站，购物公园E口，民田公交总站——————产权清晰、红本在手、税费比较少、过户交易手续费低。有车位的、停车比较方便————,业主是投姿客，目前在深圳还有几十套房，一直在买房卖房，这套房是红本在手，现在已经给我录了指纹。看房随时能看。,"经纪人服务：有钥匙、免费保洁一次收取服务费：最高25900元(≤0.5%)1、感谢您翻阅到我的房源、我是乐有家总部特种兵基地的方齐莹（工号:142245）您可以叫我小方————本人从毕业就开始从事房产行业、对市场比较熟悉，专业解决客户购房烦恼！二手房交易流程介绍:签合同-(公证委托)-资金监管/按揭申请-(担保赎楼)-递件过户-缴税取证-银行放款对账-交房。2、全国连锁经纪公司,5万余名经纪人,5千多家门店。纯大学生团队,一家敢书面承诺不吃差价的中介公司,价格阳光透明,签三方合同、价格公开透明、不存在吃差价等情况。服务简单真诚!7诺7保,差价无理由双倍返还。【ps：APP微聊回复可能不是很及时，为了您能更清楚的了解房源信息，请您致-电，来电信息是保密的！】",深圳市城乡房产管理局：暂未完成认证,155.4万（月供14867元/月）,85057.0元/㎡,福田－新洲,3.90元/平米/月,3.3,40.0,347（地上266，地下81）,2,2,1,8,2,46,4,70,2015,155,14867,85057,6,38,294,245,184,229,24,1,283,286,259,287
城中雅苑带车位的东南好朝向大三房出售满五年名下就一套税费少,城中雅苑带车位的东南好朝向大三房出售满五年名下就一套税费少;售价：940万元（81967元/㎡）；房贷：首付约282万月供约（34922元）；产权：商品房（70年产权）2005年建；类型：普通住宅 板楼 中层/共33层；装修：精装修朝东南；,275,940.0,81967,3室2厅2卫,114.68,东南,中层/共33层,精装修,70年,2005年,城中雅苑有着中.心区罕有的宽阔园林。从容积率决定产品的档次与居住价值这一角度来看，城中雅苑显然是高档住宅。，小区主要以3梯6户户型为主，环境优美，居住舒适；拥有中.心区地段，高度的城市文明与优越的核心区位，周边五洲宾馆，岁宝百货，万佳百货，会展中.心，邮电枢中.心，购物公园，市高尔夫球俱乐部，新沙医院，新沙中学，福新小学等。--————户型格局方正，采光好，楼层佳，通透户型。少有的东南朝向、现在整个小区就出来这么一套东南的、且看且珍惜！——————房子原来是业主自住，居家装修，温馨舒适，拎包入住————满五年的、名下就一套、税费 比较少！~,业主家里两个、考虑到以后不够住、家里还有老人家、想换个4房、比较诚心卖的、价格可议。,"经纪人服务：有钥匙、免费保洁一次收取服务费：最高75200元(≤0.8%)本人从毕业就开始从事房产行业、对市场比较熟悉，专业解决客户购房烦恼！二手房交易流程介绍:签合同-(公证委托)-资金监管/按揭申请-(担保赎楼)-递件过户-缴税取证-银行放款对账-交房。2、乐有家,全国连锁经纪公司之一,50000余名经纪人,5000多家门店。行业内纯大学生团队,一家敢书面承诺不吃差价的中介公司,价格阳光透明,签三方合同、价格公开透明、不存在吃差价等情况。服务简单真诚!7诺7保,差价无理由双倍返还。【ps：APP微聊回复可能不是很及时，为了您能跟清楚的了解房源信息，请您致-电，来电信息是保密的！】",深圳市城乡房产管理局：暂未完成认证,282万（月供26979元/月）,86661.0元/㎡,福田－福田中心,2.80元/平米/月,2.8,60.0,750个停车位,3,2,2,9,2,33,3,70,2005,282,26979,86661,6,25,28,41,278,0,214,262,101,291,19,249
本人实拍！业主降价25万 精装修3房 送家私电器 看房来电,本人实拍！业主降价25万 精装修3房 送家私电器 看房来电;售价：124万元（15121元/㎡）；房贷：首付约37万月供约（4617元）；产权：商品房（70年产权）2014年建；类型：普通住宅 null 中层/共15层；装修：精装修朝南北；,69,124.0,15121,3室2厅2卫,82.0,北,中层/共15层,精装修,70年,2014年,该户型非常抢手，电梯房，通风采光效果都很好）房子业主自住，保养的很好，翻新过装修）中间楼层，看小区的里面花园，小区带幼儿园的，接送上学比较方便）联系方式：137。1418。6295,业主上门放盘，准备去北京发展，房子比较急售，价格还可以谈联系方式‘137。1418。6295’,经纪人服务：有钥匙、免费保洁一次收取服务费：最高6200元(≤0.5%)信息真实，诚信交易资源，广泛。一手楼，二手楼都做，来行业3年，成交业主突破250名，服务客户700余名承接‘，法律咨询，新房买卖，房屋置换，视频看房，同城接看房’联系方式‘137。1418。6295’,深圳市城乡房产管理局：暂未完成认证,37.2万（月供3559元/月）,13702.0元/㎡,布吉－木棉湾,1.30元/平米/月,2.0,25.0,500,3,2,2,8,2,15,3,70,2014,37,3559,13702,3,78,42,90,247,379,394,178,109,50,154,395
笋盘 高赠20平 （（石岩地铁口））不限购   精装两房,笋盘 高赠20平 （（石岩地铁口））不限购   精装两房;售价：215万元（51105元/㎡）；房贷：首付约64万月供约（8014元）；产权：商品房（70年产权）2014年建；类型：普通住宅 板楼 中层/共30层；装修：精装修朝南；,42,215.0,51105,2室2厅1卫,42.07,南,中层/共30层,精装修,70年,2014年,1、小区共分4期开发，1-3期纯属住宅，4期为综合体(写字楼、公寓、商业综合体）；2、绿化率高达42，容积率仅2.8，车位1：1.2，物业管理完善，高品质住宅小区；3、楼栋2梯4户，，大阳台，户型端正大气，，采光通风好；4、一手业主的房子，产权清晰，满五唯一（可免个税），交易税费少，过户快；5、学-区：清湖外国语，新华中学，一手未使用，让您孩-子赢在起跑线。,【1】业主诚心出售此房，价格可以再谈，欢迎看房。【2】业主是一手买过来的，产权清晰无纠纷，可放心交易。【3】业主换新房，决定将此房产低于市场价出售性价比高，买到就是zhuan到。,经纪人服务：有钥匙收取服务费：最高10750元(≤0.5%)了解更多：1.9.9.2.4.5.8.8.4.5.7还有相同户型和不同户型可以一起看做个对比。。。本人从事房地产多年，公司有大量好房源，欢迎进入我的店铺查看，欢迎随时咨询，相信我的专业，为您置业安家保驾护航。,深圳市城乡房产管理局：暂未完成认证,64.5万（月供6171元/月）,57194.0元/㎡,龙华新区－清湖,3.60元/平米/月,4.6,30.0,1603套在租,2,2,1,4,2,30,3,70,2014,64,6171,57194,10,65,133,1,276,312,124,30,98,146,241,286
笋盘 万达丰大厦 螺岭小学学位 晒布地铁站 红本无税,笋盘 万达丰大厦 螺岭小学学位 晒布地铁站 红本无税;售价：460万元（46938元/㎡）；房贷：首付约137万月供约（17142元）；产权：商品房（70年产权）1998年建；类型：普通住宅 null 中层/共33层；装修：精装修朝东南；,46,460.0,46938,3室2厅1卫,98.0,东南,中层/共33层,精装修,70年,1998年,推荐指数5星：此房适合一家住 深圳中学陪读 房子安静舒适 采光好 通风效果非常好 视野开阔 步行一百米以内 有多个公交站台 地铁站晒布站。 生活配套 超市 菜市场 东门中心城 以及老街步行街 休闲教育楼下儿童公园 人民公园 深圳中学 深圳小学等配套红本在手，满五年无税，学位没使用过！1、房源优势：万达丰大厦少有的大户型总价460万，温馨舒适，户型方正，视野开阔，通风采光都很好，2、学位情况：带省重点螺岭小学3、交通便利：晒布地铁口。 旁边就是东门商圈。买到就是赚到。对面就是儿童公园，环境优美。,业主诚心卖 红本无税 有钥匙看房 螺岭小学未使用 总价低 户型方正 欢迎来电看房质询 价格面谈细聊,收取服务费：最高92000元(≤2%)经纪人服务：深圳惠州东莞免代理专欢迎来电谢谢经纪人服务：新房买卖、专本人在东门从地产行业8年，多周边房源信息非常了解！公司有大量好房源，欢迎进入我的店铺查看，随时电话咨询，相信我的专业，为您置业安家保驾护航。专业代理楼盘：东悦名轩东门天地大厦东门168嘉年华大厦万达丰大厦缤纷时代家园南海中心鸿基大厦专业代理学位房：深圳小学学位房螺岭外国语实验小学学位深圳中学学位房,深圳市城乡房产管理局：暂未完成认证,138万（月供13203元/月）,50513.0元/㎡,罗湖－东门,0.80元/平米/月,6.0,20.0,万达丰大厦地下停车场，有大量的停车位：地下200元/月，地上150元/月！,3,2,1,9,2,33,3,70,1998,138,13203,50513,7,52,223,400,317,267,13,141,336,240,26,359
福田中心 地铁口精装大3房 红本大产权 送家私家电 随时看房,福田中心 地铁口精装大3房 红本大产权 送家私家电 随时看房;售价：108万元（22978元/㎡）；房贷：首付约32万月供约（4034元）；产权：商品房（70年产权）2014年建；类型：普通住宅 板楼 中层/共33层；装修：精装修朝南北；,95,108.0,22978,3室2厅2卫,47.0,北,中层/共33层,精装修,70年,2014年,App回复不及时可电话联系l99.2533.4985,看房方便，价格还可以再谈。请提前电话或者短信预约！谢谢。App回复不及时可电话联系l99.2533.4985,经纪人服务：有钥匙收取服务费：最高5400元(≤0.5%)App回复不及时可电话联系l99.2533.4985,深圳市城乡房产管理局：暂未完成认证,32.4万（月供3098元/月）,26284.0元/㎡,福田－景田南,1.00元/平米/月,2.0,35.0,小区地面停车位,3,2,2,8,2,33,3,70,2014,32,3098,26284,6,58,379,239,395,247,78,69,385,303,50,59
11号地铁站碧头站畔山御景花园小投入，入学入户全都有，随时看,11号地铁站碧头站畔山御景花园小投入，入学入户全都有，随时看;售价：112万元（34052元/㎡）；房贷：首付约34万月供约（4140元）；产权：商品房（70年产权）2010年建；类型：普通住宅 板楼 中层/共29层；装修：毛坯朝南；,62,112.0,34052,1室0厅1卫,32.89,南,中层/共29层,毛坯,70年,2010年,推荐您购买此房的理由：（一）此房特点优势：此房我亲自看了，有效；业主急用钱，所以诚心出售此房，绝不会您来了看不了房，并且近期不会随意涨价。（二）户型优势：1室0厅1厨1卫1阳台；使用高，享受更大实用空间。（三）装修优势：此房为毛坯，可以自行设计装修（四）价钱优势：此地位于地铁线上，而且环境超棒，真可谓进可繁华，退可宁静。,此房业主诚心出售的产权清晰，方便看房，价格还可以小刀,经纪人服务：有钥匙、免费保洁一次收取服务费：最高22400元(≤2%)乐有家张攀2008年从业地产，为上千名客户业主服务过，熟悉深、莞、惠大部分楼盘。我会为您详细分析解决按揭贷款，征信不良，入户，楼盘的地理交通、环境配套、资源优势、生活教育、发展趋势等，看房均不收取任何费用。希望能和您相遇，用我的专业打动您，为您省时省力省心选择我的理由1.不胡乱分析市场促成交易，尽量让客户理性判断2.不过多电话造成生活干扰，合理安排时间进行服务3.不单纯只为成交而做成交，把可能存在的各种问题规避到底！当您看到我的帖子是我们的缘分，当您点击我的帖子里说明您已经认可我，既然您能相信我，我一定会努力为您服务！如有任何疑问可24至电！,深圳市城乡房产管理局：暂未完成认证,33.6万（月供3215元/月）,35351.0元/㎡,宝安－松岗,2.70元/平米/月,2.6,40.0,1019 总数：1019个 比例：110:1019 地上车位：110个 地下车位：909个,1,0,1,4,2,29,1,70,2010,33,3215,35351,9,68,76,145,46,343,12,208,182,143,72,347
